		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111000    4    3    1    2    3    3    3    1  3.308692 0.913520 SUCCESS 115
110111010    4    2    2    4    5    3    4    5  4.913993 0.766728 SUCCESS 116
110111100    6    3    3    3    3    2    1    3  4.963642 0.761455 SUCCESS 117
111000000    2    7    2    1    5    2    3    1 10.904910 0.207146 SUCCESS 118
111000010    2    1    2    4    1    2    3    5  5.427028 0.711111 SUCCESS 119
111000100    2    4    3    1    3    1    4    1  5.013290 0.756155 SUCCESS 120
111000110    4    1    2    5    2    4    1    5  7.081977 0.527814 SUCCESS 121
111001000    6    3    3    1    2    4    3    4  5.791116 0.670617 SUCCESS 122
111001010    4    4    6    1    5    1    1    1 10.904910 0.207146 SUCCESS 123
111001100    1    3    2    2    2    2    4    5  4.428541 0.816539 SUCCESS 124
111010000    2    5    3    2    3    1    3    4  3.843793 0.870935 SUCCESS 125
111010010    1    3    2    5    4    5    1    6  9.735413 0.284090 SUCCESS 126
111010100    0    1    5    1    4    2    5    4  9.785061 0.280437 SUCCESS 127
111010110    2    2    5    5    1    0    5    1 10.783547 0.214268 SUCCESS 128
111011000    2    5    4    3    4    0    4    2  6.375865 0.605207 SUCCESS 129
111011010    5    5    0    1    1    8    4    2 18.501129 0.017768 SUCCESS 130
111011100    5    3    3    1    5    1    3    2  5.962128 0.651474 SUCCESS 131
111100000    2    6    1    3    6    3    3    3  8.323189 0.402554 SUCCESS 132
111100010    1    5    1    2    3    0    2    2  8.008749 0.432616 SUCCESS 133
111100100    3    2    4    2    4    4    2    5  3.672781 0.885374 SUCCESS 134
111100110    4    1    4    0    2    2    4    5  7.666726 0.466683 SUCCESS 135
111101000    2    5    4    2    3    2    3    4  3.259044 0.917065 SUCCESS 136
111101010    0    0    2    4    2    4    3    2  7.716374 0.461654 SUCCESS 137
111101100    3    4    6    2    8    3    2    1 14.799558 0.063162 SUCCESS 138
111101110    7    2    2    4    5    4    3    2  9.150664 0.329746 SUCCESS 139
111110000    3    3    5    3    2    3    4    8 11.390362 0.180546 SUCCESS 140
